DEPARTAMENTO,PROVINCIA,DISTRITO,DISTANCIA,UBIGEO,ANIO,TOTAL_POBLACION,TOTAL_VIVIENDA,VIVIENDAS_HABITADAS,POBLACION_CON_COBERTURA,POBLACION_SIN_COBERTURA,FECHA_CORTE,Latitude,Longitude
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2018,8,3,3,8.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,18,7,6,,,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,1,1,1,,,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,10,5,4,10.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2018,50,10,10,50.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2018,400,96,92,400.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,600,80,76,600.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2018,244,61,61,244.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,65,40,32,65.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2018,165,33,33,33.0,132.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,3,1,1,,,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2018,49,12,11,25.0,24.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,33,16,13,33.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,180,68,50,180.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,43,70,70,9.0,34.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,CHAMACA,68,80703,2019,82,33,28,82.0,0.0,20230810,-14.3023791,-71.8525723
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,1050,650,650,1050.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,500,125,125,500.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2018,260,104,65,260.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,260,70,65,65.0,195.0,20230810,-14.2846792,-72.0407386
CUSCO,CHUMBIVILCAS,COLQUEMARCA,27,80704,2019,120,40,30,120.0,0.0,20230810,-14.2846792,-72.0407386
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,160,32,29,160.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,210,42,42,210.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,65,13,12,65.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,840,140,140,840.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,120,30,30,120.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,48,11,11,48.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,237,64,60,237.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,45,9,9,45.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,108,27,27,108.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,155,45,41,155.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,85,18,17,85.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,130,27,26,130.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,285,57,54,285.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,175,35,35,175.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,272,68,68,272.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,248,62,62,248.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,60,12,12,60.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,180,52,45,180.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,192,48,48,192.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,48,12,12,48.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2018,400,80,80,400.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,25,5,5,25.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,LA CONVENCION,VILCABAMBA,225,80909,2019,24,6,6,24.0,0.0,20230810,-12.9019391,-73.20706837723769
CUSCO,CANCHIS,SICUANI,165,80601,2018,70,24,20,70.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,35,12,11,35.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,78,26,26,,,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,495,165,165,495.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,15,6,6,15.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,35,19,11,,,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,24,11,6,24.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,23,8,5,23.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,95,21,20,95.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,27,16,9,27.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,603,201,201,603.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,480,137,120,480.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,305,80,75,305.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,126,47,42,126.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,650,130,120,650.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,305,61,54,305.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,255,51,47,255.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,138,36,36,,,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,28,8,7,28.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,28,5,5,28.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,122,35,35,122.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,384,128,128,384.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,24,7,5,24.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,15,6,6,15.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,35,12,12,35.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,88,27,27,88.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,36,12,12,36.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,115,17,16,115.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,85,19,19,85.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,125,25,20,75.0,50.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,80,25,21,80.0,0.0,20230810,-14.2729288,-71.2265322
CUSCO,CANCHIS,SICUANI,165,80601,2018,81,27,27,81.0,0.0,20230810,-14.2729288,-71.2265322
